country,population
Romania,19892812
Ireland,5056935
France,64756584
Germany,83294633
Denmark,5910913
Serbia,7149077
Portugal,10247605
Sweden,10612086
Netherlands,17618299
Bosnia and Herzegovina,3210848
Switzerland,8796669
Belgium,11686140
Spain,47519628
United Kingdom,67736802
Austria,8958961
Latvia,1830212
Croatia,4008617
Finland,5545475
Italy,58870763
Greece,10341277
Poland,41026068
Hungary,9604000
Ukraine,36744634
Luxembourg,654768
Bulgaria,6687717
Czech Republic,10495295
Moldova,3435931
Norway,5474360
Slovakia,5795199
Slovenia,2119675
Estonia,1322766
Lithuania,2718352
Albania,2832439
